<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.12.04	00:00:00.123	0.82887	0.82954			6
2024.12.04	00:00:00.431	0.82829	0.83033			6
2024.12.04	00:00:01.030	0.82891	0.82966			6
2024.12.04	00:00:30.949	0.82887	0.83007			6
2024.12.04	00:01:00.938	0.82887				2
2024.12.04	00:01:09.434	0.82904	0.83000			6
2024.12.04	00:01:20.308	0.82887	0.83002			6
2024.12.04	00:01:41.576	0.82904	0.83000			6
2024.12.04	00:02:02.869	0.82904				2
2024.12.04	00:02:09.977	0.82899	0.83002			6
2024.12.04	00:02:27.548	0.82887				2
2024.12.04	00:02:42.163	0.82901	0.82995			6
2024.12.04	00:02:48.852	0.82893	0.82953			6
2024.12.04	00:02:49.787	0.82901	0.82995			6
2024.12.04	00:03:02.349	0.82901				2
2024.12.04	00:03:17.329	0.82899	0.82996			6
2024.12.04	00:03:18.517	0.82903	0.82979			6
2024.12.04	00:03:59.366		0.82960			4
2024.12.04	00:04:12.862	0.82901				2
2024.12.04	00:04:30.194	0.82899				2
2024.12.04	00:05:00.295	0.82892	0.82952			6
2024.12.04	00:05:10.786		0.82947			4
2024.12.04	00:05:11.627		0.82944			4
2024.12.04	00:05:12.357		0.82942			4
2024.12.04	00:05:13.416	0.82890				2
2024.12.04	00:05:15.815		0.82940			4
2024.12.04	00:05:16.367		0.82939			4
2024.12.04	00:05:20.994		0.82940			4
2024.12.04	00:05:25.906		0.82939			4
2024.12.04	00:05:26.316		0.82940			4
2024.12.04	00:05:28.360		0.82939			4
2024.12.04	00:05:31.373		0.82940			4
2024.12.04	00:05:36.358		0.82938			4
2024.12.04	00:05:36.794		0.82937			4
2024.12.04	00:05:38.466		0.82930			4
2024.12.04	00:05:41.673		0.82929			4
2024.12.04	00:05:46.623		0.82930			4
2024.12.04	00:05:51.162		0.82935			4
2024.12.04	00:05:54.928		0.82931			4
2024.12.04	00:05:55.295	0.82896				2
2024.12.04	00:05:55.602		0.82949			4
2024.12.04	00:05:56.359		0.82956			4
2024.12.04	00:05:57.860	0.82898				2
2024.12.04	00:06:00.694	0.82898	0.82958			6
2024.12.04	00:06:01.696		0.82959			4
2024.12.04	00:06:02.365		0.82960			4
2024.12.04	00:06:06.122		0.82955			4
2024.12.04	00:06:07.030		0.82953			4
2024.12.04	00:06:18.356		0.82951			4
2024.12.04	00:06:21.387		0.82952			4
2024.12.04	00:06:57.947	0.82899				2
2024.12.04	00:07:03.319	0.82899				2
2024.12.04	00:07:17.883		0.82953			4
2024.12.04	00:07:32.364		0.82957			4
2024.12.04	00:07:33.690		0.82958			4
2024.12.04	00:07:34.357		0.82959			4
2024.12.04	00:07:44.371		0.82954			4
2024.12.04	00:07:46.365		0.82952			4
2024.12.04	00:07:57.943	0.82900				2
2024.12.04	00:08:00.489	0.82900	0.82953			6
2024.12.04	00:08:02.364		0.82956			4
2024.12.04	00:08:12.369		0.82953			4
2024.12.04	00:09:00.784	0.82900				2
2024.12.04	00:09:17.430		0.82951			4
2024.12.04	00:09:18.357		0.82952			4
2024.12.04	00:09:22.844		0.82954			4
2024.12.04	00:09:28.015		0.82953			4
2024.12.04	00:09:33.015		0.82952			4
2024.12.04	00:09:37.521		0.82953			4
2024.12.04	00:09:53.028		0.82954			4
2024.12.04	00:09:57.561		0.82953			4
2024.12.04	00:10:00.421	0.82900	0.82952			6
2024.12.04	00:10:07.028		0.82954			4
2024.12.04	00:10:10.409	0.82891	0.82951			6
2024.12.04	00:10:24.612	0.82892	0.82952			6
2024.12.04	00:10:33.071	0.82889	0.82949			6
2024.12.04	00:10:33.977	0.82891	0.82951			6
2024.12.04	00:10:39.718	0.82890	0.82950			6
2024.12.04	00:11:00.264	0.82890				2
2024.12.04	00:11:00.869	0.82899	0.82951			6
2024.12.04	00:11:02.618		0.82953			4
2024.12.04	00:11:04.692	0.82890	0.82950			6
2024.12.04	00:11:05.600	0.82899	0.82952			6
2024.12.04	00:11:07.401		0.82950			4
2024.12.04	00:11:09.732	0.82890				2
2024.12.04	00:11:10.633	0.82899	0.82951			6
2024.12.04	00:11:12.652		0.82949			4
2024.12.04	00:11:17.757		0.82950			4
2024.12.04	00:11:19.945		0.82952			4
2024.12.04	00:11:24.602		0.82950			4
2024.12.04	00:11:30.370		0.82949			4
2024.12.04	00:11:34.833		0.82951			4
2024.12.04	00:11:39.894		0.82950			4
2024.12.04	00:11:59.585		0.82952			4
2024.12.04	00:12:00.784	0.82899				2
2024.12.04	00:12:04.344		0.82950			4
2024.12.04	00:12:14.833		0.82952			4
2024.12.04	00:12:19.902		0.82951			4
2024.12.04	00:12:25.105		0.82950			4
2024.12.04	00:12:35.003		0.82952			4
2024.12.04	00:12:40.074		0.82951			4
2024.12.04	00:12:45.114		0.82952			4
2024.12.04	00:13:00.784	0.82899				2
2024.12.04	00:13:05.366		0.82950			4
2024.12.04	00:14:04.950	0.82899				2
2024.12.04	00:14:05.919		0.82950			4
2024.12.04	00:14:30.329		0.82951			4
2024.12.04	00:14:42.359		0.82950			4
2024.12.04	00:14:46.051		0.82951			4
2024.12.04	00:14:50.364		0.82952			4
2024.12.04	00:14:51.394		0.82950			4
2024.12.04	00:14:56.198		0.82952			4
2024.12.04	00:15:00.973	0.82899	0.82950			6
2024.12.04	00:15:04.358		0.82949			4
2024.12.04	00:15:06.187		0.82951			4
2024.12.04	00:15:11.651		0.82949			4
2024.12.04	00:15:16.816		0.82951			4
2024.12.04	00:15:21.710		0.82950			4
2024.12.04	00:15:27.201		0.82951			4
2024.12.04	00:15:36.690		0.82950			4
2024.12.04	00:15:41.472		0.82952			4
2024.12.04	00:15:43.866	0.82892	0.82943			6
2024.12.04	00:15:44.360		0.82946			4
2024.12.04	00:15:45.061	0.82899	0.82956			6
2024.12.04	00:15:54.369		0.82952			4
2024.12.04	00:15:56.356		0.82951			4
2024.12.04	00:15:58.711	0.82892	0.82942			6
2024.12.04	00:16:00.324	0.82892				2
2024.12.04	00:16:03.311		0.82943			4
2024.12.04	00:16:04.431		0.82942			4
2024.12.04	00:16:08.582	0.82896	0.82950			6
2024.12.04	00:16:10.359		0.82949			4
2024.12.04	00:16:20.816		0.82950			4
2024.12.04	00:16:21.684	0.82894	0.82947			6
2024.12.04	00:16:38.127		0.82946			4
2024.12.04	00:16:43.482		0.82948			4
2024.12.04	00:16:48.668		0.82946			4
2024.12.04	00:16:50.364		0.82947			4
2024.12.04	00:16:52.187		0.82946			4
2024.12.04	00:16:53.615		0.82945			4
2024.12.04	00:17:01.314	0.82897				2
2024.12.04	00:17:03.970		0.82946			4
2024.12.04	00:17:08.588		0.82947			4
2024.12.04	00:17:13.203		0.82945			4
2024.12.04	00:17:30.004		0.82947			4
2024.12.04	00:17:31.843		0.82945			4
2024.12.04	00:17:33.295		0.82947			4
2024.12.04	00:17:33.613		0.82946			4
2024.12.04	00:17:38.849	0.82892	0.82940			6
2024.12.04	00:17:40.362		0.82945			4
2024.12.04	00:17:42.357		0.82946			4
2024.12.04	00:17:50.357		0.82941			4
2024.12.04	00:17:51.750		0.82945			4
2024.12.04	00:18:02.120	0.82892	0.82947			6
2024.12.04	00:18:08.364		0.82946			4
2024.12.04	00:18:28.355		0.82945			4
2024.12.04	00:18:38.858	0.82894				2
2024.12.04	00:18:50.360		0.82946			4
2024.12.04	00:18:56.354		0.82947			4
2024.12.04	00:19:00.185	0.82894	0.82945			6
2024.12.04	00:19:07.436		0.82944			4
2024.12.04	00:19:08.005	0.82892				2
2024.12.04	00:19:12.045		0.82946			4
2024.12.04	00:19:17.351		0.82944			4
2024.12.04	00:19:22.238		0.82945			4
2024.12.04	00:19:41.802		0.82946			4
2024.12.04	00:19:46.573		0.82944			4
2024.12.04	00:19:51.976		0.82945			4
2024.12.04	00:19:58.365	0.82900	0.82987			6
2024.12.04	00:20:00.217	0.82900	0.83001			6
2024.12.04	00:20:10.098		0.82976			4
2024.12.04	00:20:13.276		0.82977			4
2024.12.04	00:20:13.641		0.82978			4
2024.12.04	00:20:14.360		0.82982			4
2024.12.04	00:20:15.026	0.82902				2
2024.12.04	00:20:16.671		0.82974			4
2024.12.04	00:20:24.358		0.82970			4
2024.12.04	00:20:47.569		0.82969			4
2024.12.04	00:20:48.065		0.82970			4
2024.12.04	00:20:50.357		0.82969			4
2024.12.04	00:21:00.362	0.82902				2
2024.12.04	00:21:30.375		0.82968			4
2024.12.04	00:22:01.424	0.82902				2
2024.12.04	00:22:29.947		0.82967			4
2024.12.04	00:22:35.072		0.82969			4
2024.12.04	00:22:35.859		0.82976			4
2024.12.04	00:22:40.357		0.82975			4
2024.12.04	00:22:42.483		0.82969			4
2024.12.04	00:22:48.355		0.82970			4
2024.12.04	00:22:49.617		0.82969			4
2024.12.04	00:22:54.457		0.82968			4
2024.12.04	00:22:57.868		0.82970			4
2024.12.04	00:22:58.304		0.82983			4
2024.12.04	00:22:59.289		0.82985			4
2024.12.04	00:23:02.016	0.82902	0.82992			6
2024.12.04	00:23:04.060		0.82987			4
2024.12.04	00:23:08.355		0.82976			4
2024.12.04	00:23:09.031		0.82979			4
2024.12.04	00:23:13.819		0.82978			4
2024.12.04	00:23:33.391		0.82969			4
2024.12.04	00:23:41.273		0.82977			4
2024.12.04	00:23:43.471		0.82969			4
2024.12.04	00:24:00.783	0.82902				2
2024.12.04	00:24:08.247		0.82968			4
2024.12.04	00:24:15.023	0.82903				2
2024.12.04	00:24:39.589		0.82970			4
2024.12.04	00:25:00.321	0.82903	0.82974			6
2024.12.04	00:25:07.216	0.82900	0.82966			6
2024.12.04	00:26:00.709	0.82900				2
2024.12.04	00:26:10.179		0.82966			4
2024.12.04	00:26:44.106	0.82902	0.82974			6
2024.12.04	00:27:01.922	0.82902				2
2024.12.04	00:27:38.607		0.82968			4
2024.12.04	00:27:44.112	0.82903				2
2024.12.04	00:27:48.645		0.82974			4
2024.12.04	00:27:54.223	0.82912	0.82995			6
2024.12.04	00:27:54.549	0.82913	0.82994			6
2024.12.04	00:27:59.233	0.82912	0.82995			6
2024.12.04	00:28:00.074	0.82912				2
2024.12.04	00:28:01.368	0.82909	0.82993			6
2024.12.04	00:28:02.921	0.82908	0.82994			6
2024.12.04	00:28:08.685	0.82909	0.82993			6
2024.12.04	00:28:09.588	0.82911	0.82996			6
2024.12.04	00:28:13.061	0.82910				2
2024.12.04	00:28:16.139		0.82990			4
2024.12.04	00:28:19.310	0.82911				2
2024.12.04	00:28:19.725	0.82910				2
2024.12.04	00:28:20.362		0.82989			4
2024.12.04	00:28:25.889	0.82912				2
2024.12.04	00:28:27.772		0.82991			4
2024.12.04	00:28:28.842	0.82914	0.82990			6
2024.12.04	00:28:32.618	0.82913				2
2024.12.04	00:28:33.069	0.82912	0.82988			6
2024.12.04	00:28:37.744		0.82991			4
2024.12.04	00:28:38.837	0.82914	0.82989			6
2024.12.04	00:28:48.759	0.82913	0.82990			6
2024.12.04	00:28:54.715	0.82911	0.82992			6
2024.12.04	00:28:58.350	0.82910				2
